subject,gender,age,qualification,handedness,handsused,kd1,kd2,kd3,kd4,kd5,kd6,dd1,dd2,dd3,dd4,dd5,dd6,uu1,uu2,uu3,uu4,uu5,uu6,ud1,ud2,ud3,ud4,ud5,ud6,du1,du2,du3,du4,du5,du6,gb1,gb2,gb3,gb4,gb5,gb6,gb7,gb8,gb9,gb10,gb11,gb12,gb13,gb14,gg1,gg2,gg3,gg4,gg5,gg6,gg7,gg8,gg9,gg10,gg11,gg12,gg13,gg14,ga1,ga2,ga3,ga4,ga5,ga6,ga7,ga8,ga9,ga10,ga11,ga12,ga13,ga14,mx1,mx2,mx3,mx4,mx5,mx6,mx7,mx8,mx9,mx10,mx11,mx12,mx13,mx14,my1,my2,my3,my4,my5,my6,my7,my8,my9,my10,my11,my12,my13,my14,mz1,mz2,mz3,mz4,mz5,mz6,mz7,mz8,mz9,mz10,mz11,mz12,mz13,mz14,grx1,grx2,grx3,grx4,grx5,grx6,grx7,grx8,grx9,grx10,grx11,grx12,grx13,grx14,gry1,gry2,gry3,gry4,gry5,gry6,gry7,gry8,gry9,gry10,gry11,gry12,gry13,gry14,grz1,grz2,grz3,grz4,grz5,grz6,grz7,grz8,grz9,grz10,grz11,grz12,grz13,grz14,rb1,rb2,rb3,rb4,rb5,rb6,rb7,rb8,rb9,rb10,rb11,rb12,rb13,rb14,rg1,rg2,rg3,rg4,rg5,rg6,rg7,rg8,rg9,rg10,rg11,rg12,rg13,rg14,ra1,ra2,ra3,ra4,ra5,ra6,ra7,ra8,ra9,ra10,ra11,ra12,ra13,ra14
s011,Male,Bellow 18,Below Madhymik,Right,Both Hands,8.8,7.6,7,7.2,6.4,7,262.2,481.2,564,371.2,402,465.8,261,480.6,564.2,370.4,402.6,464.2,253.4,473.6,557,364,395.6,458.8,269.8,488.2,571.2,377.6,409,471.2,17.2,17.2,17.4,17.4,17.6,17.6,18.2,18.2,18.4,18.4,18.6,18.6,19,19,-0.6,-0.6,-1,-1,-0.8,-0.8,-0.6,-0.6,-0.4,-0.4,-0.6,-0.6,-0.4,-0.4,304,304,304.2,304.2,303.8,303.8,303.8,303.8,303.8,303.8,303.4,303.4,303.8,303.8,0,0,-0.2,-0.2,0.2,0.2,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,-0.2,-0.2,-0.4,-0.4,-0.4,-0.4,0,0,-0.2,-0.2,-0.2,-0.2,-0.6,-0.6,0.2,0.2,0.2,0.2,0.6,0.6,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.2,3.2,3.2,3,3,3.2,3.2,3.2,3.2,3.4,3.4,3.4,3.4,3,3,9,9,8.8,8.8,9,9,9,9,8.8,8.8,9.2,9.2,8.8,8.8,13,13,1.6,1.6,7,7,5.2,5.2,-0.6,-0.6,9.8,9.8,8,8,-1.2,-1.2,-0.2,-0.2,-1.2,-1.2,0.6,0.6,-2.6,-2.6,1.4,1.4,-1,-1,-10.8,-10.8,-9.6,-9.6,-8.8,-8.8,-6.2,-6.2,-10.8,-10.8,-6.4,-6.4,-14,-14
s012,Male,60 Up,Gratuation,Right,One Hand,10.6,7.2,6.8,7,7.6,8.4,987.2,957.2,1182.2,675,685,556,983.8,956.8,1182.4,675.6,685.8,553.6,976.6,950,1175.4,668,677.4,547.6,994.4,964,1189.2,682.6,693.4,562,42.4,42.4,45.4,45.4,42,42,47,47,46.2,46.2,44.2,44.2,44.2,44.2,-9.8,-9.8,-8.2,-8.2,-9.2,-9.2,-8,-8,-7.6,-7.6,-9.8,-9.8,-9.6,-9.6,75.6,75.6,147.2,147.2,75.8,75.8,147.6,147.6,74.8,74.8,5.2,5.2,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.2,0.6,0.6,0.2,0.2,0.2,0.2,0.4,0.4,0,0,1.2,1.2,0.8,0.8,1,1,1,1,0.6,0.6,1.2,1.2,1,1,6.2,6.2,7,7,6.4,6.4,7,7,6.8,6.8,6.6,6.6,7,7,7.8,7.8,7.2,7.2,7.8,7.8,7,7,7.2,7.2,7.4,7.4,6.8,6.8,-1.4,-1.4,-4.2,-4.2,-1.8,-1.8,-1.8,-1.8,-2.6,-2.6,-1.2,-1.2,0,0,-1,-1,0.4,0.4,-1,-1,-0.2,-0.2,-0.4,-0.4,-1,-1,-0.4,-0.4,-3.6,-3.6,-7.6,-7.6,-0.4,-0.4,-1,-1,-1,-1,0.4,0.4,3.8,3.8
s013,Female,18 to 25,Gratuation,Right,One Hand,10.2,8,6.4,7.8,7.4,7.8,1136.2,1300.2,679.2,890,1376,498.4,1134,1298.6,680.6,889.6,1376.4,497.6,1126,1292.2,672.8,882.2,1368.6,490.6,1144.2,1306.6,687,897.4,1383.8,505.4,8,8,9.4,9.4,9.6,9.6,9.2,9.2,8.8,8.8,9.4,9.4,11,11,6.4,6.4,8.2,8.2,8.2,8.2,8.4,8.4,9.2,9.2,8.2,8.2,10.2,10.2,250.2,250.2,249.6,249.6,249,249,249.4,249.4,249.8,249.8,250,250,250,250,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0.4,0.4,-1.2,-1.2,-1.4,-1.4,-1.2,-1.2,-1.2,-1.2,-1.4,-1.4,-1.4,-1.4,-1.8,-1.8,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.8,1.8,9.8,9.8,9.8,9.8,10,10,9.6,9.6,10.4,10.4,10,10,9.4,9.4,-6.2,-6.2,-7.4,-7.4,1,1,-6.2,-6.2,-4,-4,6,6,-4.8,-4.8,-1.4,-1.4,-1.2,-1.2,-1,-1,-1,-1,-2.8,-2.8,2.8,2.8,-2,-2,-5.4,-5.4,-11,-11,-3,-3,-9.8,-9.8,-4.6,-4.6,0.8,0.8,-7.4,-7.4
s014,Female,18 to 25,Higher Secondary,Right,Both Hands,9.2,7.6,6.8,8,7.6,5.8,571.2,783.6,555,487.6,521.6,335.8,569.6,782.8,556.2,487.2,519.8,336.4,562,776,548.2,479.6,514,330,578.8,790.4,563,495.2,527.4,342.2,42.2,42.2,40.8,40.8,40.6,40.6,42.6,42.6,40.8,40.8,42.8,42.8,41.4,41.4,-6,-6,-6.2,-6.2,-7.2,-7.2,-4.6,-4.6,-6.8,-6.8,-5.4,-5.4,-6.8,-6.8,46,46,46.6,46.6,46.6,46.6,46.4,46.4,46.2,46.2,46.4,46.4,46.2,46.2,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.6,0.6,0.8,0.8,1,1,0.8,0.8,0.6,0.6,0.8,0.8,1,1,1,1,1.4,1.4,1,1,1,1,0.8,0.8,1.2,1.2,6.8,6.8,6.6,6.6,6.4,6.4,6.8,6.8,6.6,6.6,6.4,6.4,6.2,6.2,8,8,8,8,7.8,7.8,8,8,8,8,7.6,7.6,7.8,7.8,2.6,2.6,1,1,13.6,13.6,0.6,0.6,3.4,3.4,-1.4,-1.4,0.4,0.4,1.8,1.8,-0.8,-0.8,2.2,2.2,0.2,0.2,-2.2,-2.2,-1.4,-1.4,-0.2,-0.2,2.2,2.2,-6.2,-6.2,4.6,4.6,1.6,1.6,3.2,3.2,-8.6,-8.6,2.4,2.4
s015,Female,46 to 60,Gratuation,Right,One Hand,9.4,6.6,6.8,7.4,6.2,6.6,2108,1488.2,924.6,1484.2,693.4,611.2,2105.2,1488.4,925.2,1483,693.8,610,2098.6,1481.6,917.8,1476.8,687.2,604.6,2114.6,1495,932,1490.4,700,616.6,47.2,47.2,45.8,45.8,45.2,45.2,46.6,46.6,45.8,45.8,47.2,47.2,46.8,46.8,-19.6,-19.6,-19,-19,-20.2,-20.2,-18.2,-18.2,-17.6,-17.6,-16.6,-16.6,-17,-17,134,134,134,134,133.4,133.4,134.2,134.2,134,134,134.6,134.6,134.4,134.4,0.2,0.2,0.2,0.2,0,0,0.2,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.2,0.8,0.8,0.6,0.6,0.2,0.2,0.2,0.2,0.6,0.6,2.6,2.6,2.6,2.6,2.8,2.8,2.6,2.6,2.2,2.2,2.2,2.2,2.4,2.4,7.2,7.2,7,7,7,7,7,7,7,7,7,7,7.2,7.2,6.8,6.8,6.6,6.6,6.8,6.8,7,7,7,7,6.6,6.6,6.8,6.8,-8.2,-8.2,-3.8,-3.8,-6.2,-6.2,-6.4,-6.4,-2.4,-2.4,-4.8,-4.8,-7.6,-7.6,-1.8,-1.8,-1.6,-1.6,-1.8,-1.8,-1.6,-1.6,0.2,0.2,-1.2,-1.2,-1,-1,0.8,0.8,2.2,2.2,-0.4,-0.4,0.6,0.6,-0.8,-0.8,2.4,2.4,1.8,1.8
s016,Male,Bellow 18,Below Madhymik,Right,Both Hands,8.4,6,6.8,6.8,7.4,7.2,760.4,1217.4,649.8,293,579.2,385.4,758,1218.2,649.8,293.6,579,383.8,752,1211.4,643,286.2,571.8,378.2,766.4,1224.2,656.6,300.4,586.4,391,32.6,32.6,32.2,32.2,31.6,31.6,32.6,32.6,33.2,33.2,35.8,35.8,34.4,34.4,-4.4,-4.4,-7,-7,-6.6,-6.6,-4.8,-4.8,-6,-6,-7,-7,-5.8,-5.8,92.8,92.8,93.8,93.8,93.4,93.4,93,93,93.6,93.6,93.6,93.6,93.2,93.2,0,0,0,0,-0.2,-0.2,0,0,-0.4,-0.4,0,0,0,0,0,0,0.2,0.2,0,0,0,0,-0.2,-0.2,0.2,0.2,0,0,0.4,0.4,0,0,0.6,0.6,0.4,0.4,-0.2,-0.2,0,0,-0.2,-0.2,0.6,0.6,1,1,1,1,0.6,0.6,0.6,0.6,1,1,0.8,0.8,5.4,5.4,5.2,5.2,5,5,5.4,5.4,5.4,5.4,5.8,5.8,5.4,5.4,8.4,8.4,8,8,8.8,8.8,8.6,8.6,8.2,8.2,7.8,7.8,7.8,7.8,-4.4,-4.4,-4.8,-4.8,1.6,1.6,-7.2,-7.2,-9,-9,-2.4,-2.4,-6.4,-6.4,1.4,1.4,0.8,0.8,1,1,2.6,2.6,1.2,1.2,2.6,2.6,2,2,-6.4,-6.4,-9.4,-9.4,-3.4,-3.4,-12.4,-12.4,-10.2,-10.2,-11.8,-11.8,-16.2,-16.2
s017,Male,Bellow 18,Madhymik,Right,Both Hands,8.4,5.4,6.8,6.6,7,7.2,471,407.8,767.6,421.2,335.8,503.8,468,409.2,767.4,421.6,336,502.8,462.6,402.4,760.8,414.6,328.8,496.6,476.4,414.6,774.2,428.2,343,510,37.4,37.4,39,39,38,38,38.6,38.6,38.6,38.6,38.8,38.8,39,39,-5.6,-5.6,-3.2,-3.2,-4.8,-4.8,-3.8,-3.8,-3.4,-3.4,-4.2,-4.2,-4.6,-4.6,270,270,270.2,270.2,270.8,270.8,270,270,269.8,269.8,270.4,270.4,270,270,0,0,0,0,-0.2,-0.2,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.8,0.8,6,6,6.2,6.2,6,6,6,6,6.2,6.2,6.4,6.4,6.2,6.2,8,8,8,8,8,8,8.2,8.2,8,8,7.6,7.6,8.2,8.2,-5.6,-5.6,-9.8,-9.8,-2.6,-2.6,-2.4,-2.4,-0.2,-0.2,-6,-6,-6.8,-6.8,-0.4,-0.4,-0.6,-0.6,-2.2,-2.2,-1,-1,-0.4,-0.4,-0.2,-0.2,-3.2,-3.2,-8.2,-8.2,-12.4,-12.4,-6.6,-6.6,-5,-5,-4.6,-4.6,-8.2,-8.2,-6.8,-6.8
s018,Male,26 to 45,Gratuation,Right,One Hand,8,5.6,6.8,6.8,7.4,9,2236.8,4031.2,1131.4,1624.6,1689.8,1660.2,2234.4,4032.4,1131.4,1625.2,1691.4,1657.2,2228.8,4025.6,1124.6,1617.8,1682.4,1651.2,2242.4,4038,1138.2,1632,1698.8,1666.2,13,13,11.2,11.2,12.6,12.6,12.6,12.6,11.4,11.4,11.4,11.4,11,11,1,1,0.8,0.8,3.4,3.4,3.4,3.4,1.4,1.4,2.2,2.2,2,2,336.2,336.2,336.4,336.4,339.2,339.2,338,338,337.4,337.4,338.2,338.2,337.2,337.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0,0,-0.2,-0.2,-0.2,-0.2,-0.4,-0.4,-0.6,-0.6,-0.2,-0.2,-0.6,-0.6,-0.4,-0.4,2.2,2.2,2,2,2,2,2,2,2,2,1.8,1.8,2.2,2.2,9.8,9.8,10.8,10.8,9.6,9.6,10,10,9.8,9.8,9.8,9.8,9.6,9.6,-10.2,-10.2,-9.6,-9.6,-6.6,-6.6,-6.4,-6.4,-10.2,-10.2,-3,-3,-11.4,-11.4,-1.4,-1.4,-0.8,-0.8,-3.8,-3.8,-1.6,-1.6,-1.2,-1.2,-1.6,-1.6,-1.2,-1.2,-15,-15,-15.6,-15.6,-4.2,-4.2,-8.8,-8.8,-14.2,-14.2,-7.2,-7.2,-17.8,-17.8
s019,Female,18 to 25,Higher Secondary,Right,One Hand,9.2,8,7,8,7.8,7.2,1278.2,797.4,1003.4,561.8,405.6,716.6,1277,796.4,1004.4,561.6,405,717.8,1269,789.4,996.4,553.8,397.8,709.4,1286.2,804.4,1011.4,569.6,412.8,725,3,3,3,3,3.2,3.2,3,3,3,3,3,3,3,3,-8.6,-8.6,-8.4,-8.4,-8.2,-8.2,-8.4,-8.4,-8.6,-8.6,-8.4,-8.4,-8.4,-8.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,1.6,1.6,1.6,1.6,1.4,1.4,1.6,1.6,1.6,1.6,1.4,1.4,1.2,1.2,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,9.4,9.4,9.6,9.6,9.8,9.8,9.6,9.6,9.2,9.2,9.2,9.2,9.6,9.6,-0.8,-0.8,0.2,0.2,-0.2,-0.2,-0.2,-0.2,2.8,2.8,0.8,0.8,-0.2,-0.2,0,0,0,0,0,0,0,0,-0.2,-0.2,0.2,0.2,0,0,-0.4,-0.4,0,0,0.2,0.2,-0.4,-0.4,0.4,0.4,-0.4,-0.4,0,0
s020,Male,60 Up,Gratuation,Right,One Hand,11.6,7.4,7.4,7.8,6.2,8,2859.2,2515.2,3279.6,3145.8,5534.2,2443.2,2855,2515.2,3280,3144.2,5536,2443.2,2847.6,2507.8,3272.2,3138,5528,2435.2,2866.6,2522.6,3287.4,3152,5542.2,2451.2,25.2,25.2,25,25,25.4,25.4,25,25,25.2,25.2,25.4,25.4,25.2,25.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.6,-0.6,-1.2,-1.2,-1,-1,-1.2,-1.2,345,345,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.2,-0.6,-0.6,-0.4,-0.4,-0.2,-0.2,-0.4,-0.4,-0.2,-0.2,0,0,0,0,0.4,0.4,0,0,0.2,0.2,0,0,0.2,0.2,0.2,0.2,4,4,4.2,4.2,4,4,3.8,3.8,4,4,4,4,4,4,8.4,8.4,8.4,8.4,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.8,8.8,0.4,0.4,0.2,0.2,0.4,0.4,0.2,0.2,0.6,0.6,-0.4,-0.4,1,1,-0.4,-0.4,-0.6,-0.6,-1.2,-1.2,-0.6,-0.6,0.2,0.2,-0.4,-0.4,-0.2,-0.2,2.2,2.2,0.4,0.4,2.6,2.6,1.8,1.8,0,0,0.8,0.8,2.6,2.6
s021,Female,46 to 60,Gratuation,Right,One Hand,10.4,6,6.8,7.2,7.8,8.2,2608.6,2875.8,2960.6,4227,2009,1474,2604.2,2876.6,2961,4227.6,2009.4,1473.2,2598.2,2869.8,2953.8,4219.8,2001.2,1465.8,2614.6,2882.6,2967.8,4234.8,2017.2,1481.4,53.4,53.4,52,52,53,53,52.2,52.2,52.8,52.8,54,54,54,54,6,6,4.2,4.2,6.8,6.8,7.2,7.2,10.6,10.6,11.2,11.2,10,10,344,344,347.8,347.8,345.4,345.4,346,346,342.2,342.2,342.2,342.2,343,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.8,-0.8,-0.8,-0.8,-1,-1,-1,-1,7.8,7.8,7.6,7.6,7.8,7.8,7.6,7.6,7.6,7.6,8,8,7.8,7.8,6,6,6,6,6.2,6.2,6.4,6.4,6.2,6.2,5.8,5.8,5.8,5.8,-4,-4,-2.2,-2.2,-3,-3,-5,-5,-3.8,-3.8,-2.2,-2.2,1.6,1.6,1,1,2.2,2.2,1,1,2.8,2.8,2.2,2.2,0.4,0.4,-0.2,-0.2,-3.8,-3.8,-6.6,-6.6,-0.6,-0.6,-4.6,-4.6,-2.2,-2.2,-2,-2,-4,-4
s022,Female,18 to 25,Gratuation,Right,Both Hands,9.4,7.6,6.8,7,6.6,7.2,952.6,763,463.6,281.6,2934.6,165.2,950.8,762.2,463.8,281.2,2935.2,163.8,943.2,755.4,456.8,274.6,2928,158,960.2,769.8,470.6,288.2,2941.8,171,27,27,27.6,27.6,27.4,27.4,28.2,28.2,28.4,28.4,26,26,25.8,25.8,-1.2,-1.2,-1.2,-1.2,-1.6,-1.6,-1.4,-1.4,-2.4,-2.4,0.6,0.6,1,1,7.2,7.2,7.4,7.4,7.2,7.2,6.8,6.8,7,7,5.8,5.8,6,6,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.4,0.4,-0.6,-0.6,-0.4,-0.4,0,0,0.2,0.2,0.2,0.2,0,0,0.6,0.6,0.2,0.2,0,0,4.4,4.4,4.4,4.4,4.4,4.4,4.8,4.8,4.6,4.6,4.4,4.4,4.4,4.4,8.8,8.8,8.6,8.6,8.8,8.8,8.6,8.6,9,9,8.4,8.4,8.6,8.6,3.6,3.6,4.6,4.6,2.2,2.2,-1.8,-1.8,7,7,3,3,1.2,1.2,-0.6,-0.6,0.6,0.6,-0.2,-0.2,1.8,1.8,1.8,1.8,-0.8,-0.8,0.2,0.2,-4.8,-4.8,0.2,0.2,4.6,4.6,-4.2,-4.2,-6,-6,2.6,2.6,2.8,2.8
s023,Female,18 to 25,Gratuation,Right,One Hand,9.6,8.2,7.8,9.4,7.8,7.2,453.6,389.6,322.2,13069.2,7584,249.4,452.2,389.2,323.8,13067.6,7583.4,249.6,444,381.4,314.4,13059.8,7576.2,242.2,461.8,397.4,331.6,13077,7591.2,256.8,21.6,21.6,24,24,23.6,23.6,24,24,20,20,20.4,20.4,20.2,20.2,0.8,0.8,2.2,2.2,1.4,1.4,1.6,1.6,-0.4,-0.4,2.4,2.4,1.6,1.6,54.6,54.6,55.2,55.2,55.4,55.4,55.6,55.6,56,56,56.6,56.6,56.4,56.4,0,0,-0.2,-0.2,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0,0,0,0,0,0,0.2,0.2,0,0,0.4,0.4,0,0,-0.4,-0.4,-1,-1,-1.2,-1.2,-1.6,-1.6,-0.2,-0.2,-1,-1,-0.6,-0.6,0,0,-0.4,-0.4,-0.6,-0.6,-0.6,-0.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,3.8,3.8,4.2,4.2,4,4,4.2,4.2,3.4,3.4,3.6,3.6,3.6,3.6,8.6,8.6,7.8,7.8,7.8,7.8,7.4,7.4,8.8,8.8,8.2,8.2,8.6,8.6,-6.2,-6.2,-9.2,-9.2,-4.2,-4.2,-9.2,-9.2,-6.4,-6.4,-8.4,-8.4,1.4,1.4,-2.2,-2.2,-1.4,-1.4,-1,-1,-5.2,-5.2,0.2,0.2,-2,-2,0.6,0.6,-6.8,-6.8,-6.6,-6.6,-9.6,-9.6,-9.6,-9.6,-6.6,-6.6,-8,-8,-0.4,-0.4
s024,Female,18 to 25,Gratuation,Right,Both Hands,9.8,6.2,6.6,8.8,8,7.6,294.2,432.2,216.6,1180.2,172.4,194.2,290.6,432.6,218.8,1179.4,172,193.6,284.4,426,210,1171.4,164.4,186.6,300.4,438.8,225.4,1188.2,180,201.2,20.2,20.2,21,21,20.4,20.4,20.4,20.4,20.6,20.6,21,21,20.8,20.8,3.4,3.4,3.4,3.4,4.4,4.4,4.6,4.6,4.4,4.4,4.2,4.2,4,4,353,353,352.6,352.6,353,353,352.8,352.8,352.6,352.6,352.6,352.6,352.8,352.8,0.2,0.2,0.4,0.4,0,0,0.2,0.2,0.2,0.2,0,0,0.8,0.8,0,0,-0.2,-0.2,0,0,0,0,0,0,0,0,-0.2,-0.2,0.2,0.2,0.4,0.4,-0.2,-0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.6,0.6,-0.4,-0.4,-0.2,-0.2,-0.6,-0.6,-0.4,-0.4,-0.2,-0.2,-0.8,-0.8,0,0,3.4,3.4,3.4,3.4,3.4,3.4,3.2,3.2,3.4,3.4,3.4,3.4,3.2,3.2,9.4,9.4,9.4,9.4,9,9,9.2,9.2,9.4,9.4,9.8,9.8,9.4,9.4,-7.4,-7.4,2.6,2.6,-1.8,-1.8,-6.2,-6.2,7.6,7.6,13.6,13.6,4.8,4.8,0,0,0.8,0.8,0,0,-0.2,-0.2,-0.4,-0.4,-0.4,-0.4,-3.4,-3.4,-2,-2,-3.8,-3.8,-4.2,-4.2,0.4,0.4,3.6,3.6,-4.8,-4.8,0.4,0.4
s025,Female,18 to 25,Gratuation,Right,Both Hands,11,7,7.8,8.8,8,9,658.4,882.6,686.8,290.4,360.6,312.8,654.4,883.4,687.8,289.6,361.6,313,647.4,875.6,679,281.6,352.6,303.8,665.4,890.4,695.6,298.4,369.6,322,21.4,21.4,22,22,20.8,20.8,22.4,22.4,21.8,21.8,21.4,21.4,21.6,21.6,3,3,4.6,4.6,0.4,0.4,2,2,1.2,1.2,0.8,0.8,0.2,0.2,296.8,296.8,297.4,297.4,296.2,296.2,296.6,296.6,296.2,296.2,295.8,295.8,296,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.2,0,0,-0.2,-0.2,-0.4,-0.4,-0.4,-0.4,0,0,0,0,-0.4,-0.4,-0.6,-0.6,0,0,-0.2,-0.2,-0.4,-0.4,0,0,0.2,0.2,3.4,3.4,3.6,3.6,3.2,3.2,3.8,3.8,3.6,3.6,3.6,3.6,3.4,3.4,9,9,8.6,8.6,8.6,8.6,8.8,8.8,8.8,8.8,9,9,8.8,8.8,-1.8,-1.8,1.2,1.2,-1,-1,1.6,1.6,-8.2,-8.2,1,1,3.4,3.4,-1.2,-1.2,-2,-2,2.2,2.2,-0.6,-0.6,-0.2,-0.2,1.6,1.6,2.2,2.2,-8,-8,-8.4,-8.4,-9,-9,-9.8,-9.8,-6.8,-6.8,-4.6,-4.6,-2.4,-2.4
s026,Male,46 to 60,Master,Right,One Hand,8.4,9.4,7.4,7.6,5,8.6,2037.2,1358.2,783.4,312.8,370,538.6,2038.2,1356.2,783.6,310.2,373.6,537.2,2028.8,1348.8,776,305.2,365,530,2046.6,1365.6,791,317.8,378.6,545.8,0.2,0.2,-0.4,-0.4,-0.2,-0.2,-1,-1,-0.4,-0.4,-0.8,-0.8,-0.8,-0.8,1.2,1.2,0.6,0.6,0.8,0.8,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,215,215,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,1,0.6,0.6,0.6,0.6,0.2,0.2,0.4,0.4,0,0,-0.2,-0.2,0,0,-0.2,-0.2,0,0,0,0,-0.2,-0.2,0,0,0,0,-0.2,-0.2,0,0,-0.4,-0.4,-0.4,-0.4,0,0,0,0,10,10,11,11,10.4,10.4,10.4,10.4,10,10,10,10,9.6,9.6,-7.4,-7.4,-12.4,-12.4,-21.2,-21.2,-17.6,-17.6,-7.8,-7.8,-14,-14,-4.8,-4.8,-3.6,-3.6,-2.6,-2.6,-4.6,-4.6,-4.2,-4.2,-1.8,-1.8,-2.8,-2.8,-1.2,-1.2,2.8,2.8,-2.6,-2.6,-14.8,-14.8,-9.8,-9.8,-2.8,-2.8,-8.2,-8.2,-2.6,-2.6
s027,Male,18 to 25,Gratuation,Right,Both Hands,10,9,10.4,7.8,7.2,8.2,210.2,393.8,181.4,625.6,341.8,176,209.2,395.2,178.8,625,342.8,174.8,200.2,384.8,171,617.8,334.6,167.8,219.2,404.2,189.2,632.8,350,183,32.4,32.4,32.6,32.6,33.4,33.4,32.8,32.8,33.2,33.2,33.8,33.8,34.8,34.8,-1.2,-1.2,-1.6,-1.6,-2.4,-2.4,-3,-3,-2.4,-2.4,-3.6,-3.6,-3.6,-3.6,10.6,10.6,10.8,10.8,10.4,10.4,9.8,9.8,10.6,10.6,10,10,10,10,0,0,0.2,0.2,-0.2,-0.2,0,0,0,0,0,0,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0.6,0.6,0.4,0.4,-0.2,-0.2,0,0,-0.2,-0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.6,0.6,0.2,0.2,0.6,0.6,0.6,0.6,5,5,5,5,5.2,5.2,5,5,5.2,5.2,5.2,5.2,5.4,5.4,8.8,8.8,8.4,8.4,9,9,8.6,8.6,8.2,8.2,8.2,8.2,8,8,-3.6,-3.6,0.8,0.8,-8.2,-8.2,1,1,-1.8,-1.8,-2.2,-2.2,-0.8,-0.8,-1,-1,-0.2,-0.2,-3.6,-3.6,-2.2,-2.2,-1.2,-1.2,0,0,-3.6,-3.6,5.2,5.2,8.2,8.2,-1.2,-1.2,4.8,4.8,1.8,1.8,3.4,3.4,0,0
